a3_code,scientific_name,species_family,species_order
KNC,Knipowitschia caucasica,Gobiidae,GOBIOIDEI
KNE,Conus suratensis,Conidae,GASTROPODA
KNF,Chione paphia,Veneridae,BIVALVIA
KNG,Conus generalis,Conidae,GASTROPODA
KNH,Knodus heteresthes,Characidae,CHARACIFORMES
KNI,Haliporoides spp.,Solenoceridae,NATANTIA
KNJ,Cyclina sinensis,Veneridae,BIVALVIA
KNK,Chione kellettii,Veneridae,BIVALVIA
KNL,Conus litteratus,Conidae,GASTROPODA
KNM,Channa maculata,Channidae,OTHER PERCIFORMES
KNN,Chione cancellata,Veneridae,BIVALVIA
KNO,Cellana rota,Patellidae,GASTROPODA
KNP,Alectryonella plicatula,Ostreidae,BIVALVIA
KNQ,Conus quercinus,Conidae,GASTROPODA
KNR,Cronius ruber,Portunidae,BRACHYURA
